기업명,연도,revenue_t1_scaled,cagr_2y_scaled,growth_recent_scaled,growth_acceleration_scaled,growth_volatility_scaled,operating_margin_scaled,capex_intensity_scaled,capex_trend_scaled,capex_vs_industry_scaled,debt_ratio_scaled,rnd_intensity_scaled,profitable_years,patent_count_5y,patent_count_recent,ipc_diversity,patent_register_rate,patent_citation_total,patent_citation_avg,patent_citation_age_adj_total,patent_citation_age_adj_avg,no_patent_flag,patent_recent_ratio,citation_recent_ratio,patent_growth_rate,patent_growth_accel,new_ipc_ratio,recent_ipc_overlap,citation_per_patent_recent,patent_emb_0,patent_emb_1,patent_emb_2,patent_emb_3,patent_emb_4,patent_emb_5,patent_emb_6,patent_emb_7,patent_emb_8,patent_emb_9,patent_emb_10,patent_emb_11,patent_emb_12,patent_emb_13,patent_emb_14,patent_emb_15,patent_emb_16,patent_emb_17,patent_emb_18,patent_emb_19,patent_emb_20,patent_emb_21,patent_emb_22,patent_emb_23,patent_emb_24,patent_emb_25,patent_emb_26,patent_emb_27,patent_emb_28,patent_emb_29,patent_emb_30,patent_emb_31,patent_emb_32,patent_emb_33,patent_emb_34,patent_emb_35,patent_emb_36,patent_emb_37,patent_emb_38,patent_emb_39,patent_emb_40,patent_emb_41,patent_emb_42,patent_emb_43,patent_emb_44,patent_emb_45,patent_emb_46,patent_emb_47,patent_emb_48,patent_emb_49,target_year,target_growth
(주)나노젯코리아,2019,-0.4724246642793259,-0.0080009962808516,-0.2936895502534723,-0.2424911253528554,-0.1458266265428796,0.1485655191646235,0.1221884933188062,-0.2276303044767815,0.1386382202463457,1.313841657582394,0.3318385214763107,2,-0.4716762048629423,-0.4487602768989613,-0.7562622780996081,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,1,-1.055482787254412,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.3499947989574316,0.1500245319988069,0.4537157615377361,0.5090890153680446,0.3664377446104821,0.4922845329413131,0.3485922145116353,0.4595028033746031,0.5275272335765125,0.3393860694716536,0.4156191591585501,0.5341287959060127,0.5323702901751168,0.5381412757525386,0.4359943170550872,0.4199907982364342,0.4622847790717779,0.4500116923702674,0.4556065762378888,0.4210951497123077,0.428371245162081,0.5698300548075891,0.4151092554724996,0.4645877876430753,0.4345644397902451,0.4755018025045613,0.5334303403092017,0.4866809199287503,0.4830551640705964,0.4108259022065687,0.4676059312691202,0.431605724447913,0.3866454330368778,0.5907006595063853,0.4948398671091306,0.4900279922372179,0.4385658529139979,0.463669475902327,0.4167052360337235,0.4455082846116275,0.4162916037588988,0.3933964723775864,0.4007041159270784,0.4524712838554291,0.4755773978293476,0.4172733837542687,0.4727060189431847,0.4278498755896423,0.4226844798171719,0.4871034604339029,2020,1
(주)다산이엔지,2019,-0.04589280202936,0.101611002718577,0.2703802130227135,0.4224072368915194,-0.2557419262517413,0.1459817022085065,-0.0060648474609316,-0.1558440784469369,0.3420098258102256,-0.3661400797380441,-0.2119313398546239,1,-0.2563696183894455,-0.2675974507064265,-0.2059670719664905,1.2928727971983325,-0.3162958079519549,-0.1239394556429807,-0.3149408620659839,-0.1655304964122578,0,0.2625845258126164,1.0796902855043191,-0.138047212092093,0.0166500057880116,-0.4718563634038009,0.8088938165225803,0.1963883368151417,0.3946108310582734,0.4898927564833402,0.4699098446366391,0.5035970707700914,0.5097425207026225,0.4945500374472508,0.4055690916477189,0.493127760651426,0.5293568705676819,0.4250741103363645,0.4933015978864175,0.4433841852180992,0.4445527090783594,0.4514923390840543,0.4574938585390944,0.563606239215682,0.4581496792201291,0.3962438132345955,0.4761821519937623,0.4682893828599508,0.456464743138837,0.5256049972646034,0.4395521560691044,0.4957057417591738,0.5233831539504104,0.3732046662982318,0.4542993334538617,0.5053221190773687,0.4754017215881015,0.4518314823147234,0.3707440660383037,0.4590258628476844,0.4471277572620761,0.4341545986430606,0.395169130711362,0.4853986370308479,0.4152796849694454,0.3966964936352534,0.4345920345552584,0.4936403377715949,0.4417240667809847,0.4559335177071686,0.4536803305024263,0.4484957964235496,0.4654661142251204,0.5034644202555997,0.4668351308184493,0.4252344579552459,0.4240539978422233,0.4242573050769854,2020,0
(주)대백인터내쇼날,2019,-0.2974341862566562,-0.321137711492667,0.0589580752409962,0.4305868357745572,-0.2625857398301727,0.165536989675695,-0.2036082284465437,-0.2276303044767815,0.1386382202463457,-0.2729960948996981,-0.150404940377105,2,-0.4716762048629423,-0.4487602768989613,-0.7562622780996081,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,1,-1.055482787254412,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.3499947989574316,0.1500245319988069,0.4537157615377361,0.5090890153680446,0.3664377446104821,0.4922845329413131,0.3485922145116353,0.4595028033746031,0.5275272335765125,0.3393860694716536,0.4156191591585501,0.5341287959060127,0.5323702901751168,0.5381412757525386,0.4359943170550872,0.4199907982364342,0.4622847790717779,0.4500116923702674,0.4556065762378888,0.4210951497123077,0.428371245162081,0.5698300548075891,0.4151092554724996,0.4645877876430753,0.4345644397902451,0.4755018025045613,0.5334303403092017,0.4866809199287503,0.4830551640705964,0.4108259022065687,0.4676059312691202,0.431605724447913,0.3866454330368778,0.5907006595063853,0.4948398671091306,0.4900279922372179,0.4385658529139979,0.463669475902327,0.4167052360337235,0.4455082846116275,0.4162916037588988,0.3933964723775864,0.4007041159270784,0.4524712838554291,0.4755773978293476,0.4172733837542687,0.4727060189431847,0.4278498755896423,0.4226844798171719,0.4871034604339029,2020,0
(주)대성이엔티,2019,-0.0730864857312334,-0.299600782838453,-0.2475560051635,0.0411445653514928,-0.34952312553991,0.1427650349886406,-0.2445337070291646,-0.187073371867471,0.1566425840892402,-0.2160025124597936,-0.267153764756137,2,-0.4716762048629423,-0.4487602768989613,-0.7562622780996081,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,1,-1.055482787254412,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.5428784195614376,0.5906193609495906,0.6167819547480835,0.4428529916702245,0.5612886433703542,0.4174831577775337,0.59938037633705,0.54339765122959,0.6461233641267188,0.4513756071727,0.4880417417861721,0.3435348625329131,0.471524479667064,0.5693833957336896,0.4215838965380357,0.6898850584092144,0.4839827317145952,0.6040584826255642,0.4127585243316701,0.4781897656859996,0.3500479617276216,0.4277390268618224,0.4827167101926226,0.3631034016125111,0.4747271864327526,0.3901980527411553,0.5173656143887133,0.6670212781941743,0.4551285768708236,0.6239244491107825,0.3927601094547793,0.4487395166221355,0.3981134097737461,0.4433839072985444,0.5366858143329247,0.4062858791661682,0.5370883245330245,0.4797479576000437,0.3652564464266959,0.4342873115544965,0.6008211178773929,0.4960127573433201,0.3777105422955247,0.6160882089188118,0.332913343750736,0.3510487742695448,0.5729302736179035,0.4968677741005277,0.5421972457811818,0.4355056600892428,2020,0
(주)대양이티에스,2019,0.0905730751304059,2.4139544114770586,2.619927895513943,1.6717047804678062,0.1591515426916691,0.1019362825692704,-0.2816917649969329,-0.2276303044767815,0.1386382202463457,-0.2213769254122576,-0.2659839884896211,2,-0.2563696183894455,-0.3581788638026938,0.0691805311000682,-0.1896654639079289,-0.1931597624167745,0.3724837520018897,-0.2601868440367814,0.021676473762134,0,-0.3964491307208977,-0.7198257803444872,-0.5171196245180519,0.0166500057880116,0.0888779047402912,-0.6347385361508964,-0.4382364126405793,0.3818871343158092,0.5954271632499024,0.3976546038251237,0.4460660277006736,0.5499273820912098,0.5497841427754753,0.4415350410316665,0.4225248052442612,0.4473346596030759,0.4173161989826225,0.3400362943684763,0.4537793622805792,0.3781425030875576,0.5209957698197623,0.4935066067325779,0.5216541161211066,0.3182278678858265,0.429335343897367,0.5162524634830804,0.528822368632834,0.4862318015061764,0.4114966699611269,0.434026413121318,0.4537786042937785,0.500895631063944,0.474572732446931,0.4164531831582179,0.4655445041653995,0.4816793472309265,0.3783967028129207,0.4492683029554405,0.4816676229107611,0.5225579165640984,0.4181834337242253,0.4118021090036136,0.4337420284747722,0.4722534277389701,0.4630151280998645,0.3793313644273744,0.4658046506731461,0.4708731831724054,0.5137529767842032,0.5256041850703032,0.5077790047607331,0.4074013373275808,0.4110780393929859,0.4352287724214101,0.4339884348169912,0.4307160161739461,0.4639208193857738,2020,0
(주)대영프로파일,2019,-0.7123132263460334,0.1785377506642202,-0.6449776882275857,-1.05828899740722,-0.1086207604029159,0.1552812916691481,-0.0731427507736365,-0.187073371867471,0.1566425840892402,-0.1980703816330947,-0.1133014390066302,2,-0.4716762048629423,-0.4487602768989613,-0.7562622780996081,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,1,-1.055482787254412,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.3499947989574316,0.1500245319988069,0.4537157615377361,0.5090890153680446,0.3664377446104821,0.4922845329413131,0.3485922145116353,0.4595028033746031,0.5275272335765125,0.3393860694716536,0.4156191591585501,0.5341287959060127,0.5323702901751168,0.5381412757525386,0.4359943170550872,0.4199907982364342,0.4622847790717779,0.4500116923702674,0.4556065762378888,0.4210951497123077,0.428371245162081,0.5698300548075891,0.4151092554724996,0.4645877876430753,0.4345644397902451,0.4755018025045613,0.5334303403092017,0.4866809199287503,0.4830551640705964,0.4108259022065687,0.4676059312691202,0.431605724447913,0.3866454330368778,0.5907006595063853,0.4948398671091306,0.4900279922372179,0.4385658529139979,0.463669475902327,0.4167052360337235,0.4455082846116275,0.4162916037588988,0.3933964723775864,0.4007041159270784,0.4524712838554291,0.4755773978293476,0.4172733837542687,0.4727060189431847,0.4278498755896423,0.4226844798171719,0.4871034604339029,2020,0
(주)동성이엔씨,2019,-0.3954978709234376,4.667632910748995,1.822321441598972,-1.4144332466085765,0.5786594784410304,0.142242818404427,0.8077183010459115,-0.2276303044767815,0.1386382202463457,-0.3393973513200575,1.3465579633745923,2,-0.4716762048629423,-0.4487602768989613,-0.7562622780996081,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,1,-1.055482787254412,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.2170021101079195,0.2904612683953285,0.6070430094984686,0.4985864594088018,0.2325564947291678,0.3259244063406336,0.7046466165529613,0.5629566711979348,0.3024967718020271,0.4262963124383216,0.5940857494964902,0.2600799078725646,0.7026214519130038,0.4047354340304772,0.2814466564373922,0.3758887433734079,0.260251329899156,0.3032978839639658,0.3455439580265427,0.6036589095251892,0.5475106548211476,0.499107740991992,0.3931282421543259,0.2593612383899191,0.6237453036391564,0.4330428033241834,0.4086371467110624,0.4620490475226734,0.4639137444962308,0.5108084391944541,0.4644708094269895,0.425452556558151,0.3325182876535941,0.4723569472609733,0.4757195649727134,0.4042449596956937,0.4059596371165156,0.4993517802079329,0.4616702997062163,0.4701004938179211,0.376448953886725,0.5319067046719506,0.5040813185551677,0.2776386415457251,0.4665122021759548,0.3854741152026961,0.3768095543042801,0.433528430296743,0.4931457064989348,0.4641716040285643,2020,1
(주)레이저앱스,2019,-1.4675402352414504,4.667632910748995,5.593048367779182,4.60885382770575,3.579144382177933,0.041923386533479,0.9070243628191734,-0.2276303044767815,0.1386382202463457,-0.3605287451817991,1.4935505382325402,0,-0.4178495582445681,-0.3581788638026938,-0.4811146750330493,-0.930934593349156,-0.3983865049754085,0.0415349469053094,-0.3423178710395196,0.5832973831620677,0,1.5806518388796449,1.9794483170790853,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,0.1963883368151417,0.5124788233982909,0.432722110852876,0.6461738863262935,0.3608233700706184,0.5538478379217926,0.6428237307910085,0.627900915590478,0.490114714517477,0.5052266631329762,0.3782585629928378,0.5997077769014901,0.6116235809068804,0.4861456732472541,0.33867625870757,0.3925353800285104,0.4785545785517525,0.4032331792729401,0.3788034140554108,0.4565865710396402,0.6069657242287597,0.3400994088082387,0.4443895009649817,0.4480042154188905,0.4948613416116094,0.3865577386798716,0.2768994198013244,0.432859831362871,0.4130266771003297,0.4032591035225208,0.3722266520245135,0.4919850416293735,0.420483481408091,0.4741784431946421,0.3429629649065356,0.5000817040985729,0.4159785249350519,0.3483160947537659,0.4397946790669609,0.4147883291175958,0.4942238309234726,0.5096320929579489,0.3983919183915263,0.4734512736280273,0.4587885730450937,0.4025953515645241,0.4952081892817646,0.5412383230252108,0.5383537632365465,0.4720689023553085,0.5591424151854363,2020,1
(주)룩센테크놀러지,2019,-2.2268552238842725,-1.246748075306965,2.671411644643096,2.9010322854741104,0.3565825476820652,0.1791028058109172,3.2509985765327287,-0.187073371867471,0.1566425840892402,-0.1302719798486637,2.870676744554271,1,-0.4178495582445681,-0.3581788638026938,-0.4811146750330493,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,0,1.5806518388796449,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.1499708369185693,0.1421599750982994,0.4523374913553374,0.499401819269431,0.2297346885581828,0.496951904131828,0.3485738602094638,0.5642331386483007,0.6443137787589531,0.7150127613251274,0.433903252820376,0.3070915909245101,0.3708137833284144,0.5867701047784053,0.4010615169608576,0.3850137814035482,0.48496982436736,0.3493467704233722,0.5323459041143773,0.4874807957948685,0.3732001151893194,0.48207862773142,0.1313605767136938,0.4905178970443871,0.5476305001130992,0.189023046855196,0.4438850163371645,0.394746116991914,0.4617417412105108,0.4640147173420732,0.6622473479876673,0.6371573424143877,0.6188493679177077,0.3993841622160429,0.3183073439155253,0.2589337714743804,0.339119674779456,0.4033123198038189,0.4129145710903514,0.4427182146823944,0.4350218271269059,0.5746299295602715,0.4253491804607078,0.3540473361916731,0.5108884091733547,0.4860861038295562,0.5461985588192,0.3304242030871075,0.4882512385816946,0.4469480895002403,2020,1
(주)멘토티앤씨,2019,-0.1107121862543349,-0.7496995843420172,-0.8881356646779034,-0.6065448908243934,-0.2137797477021963,0.1570164404592696,-0.2507011138562847,-0.187073371867471,0.1566425840892402,-0.2914626303632242,-0.2726900538633705,2,-0.4178495582445681,-0.3581788638026938,-0.4811146750330493,-0.930934593349156,-0.4394318534871353,-0.6203626632878512,-0.4244488980422578,-0.5399444356377996,0,1.5806518388796449,-0.7198257803444872,-0.138047212092093,0.0166500057880116,-0.4718563634038009,-0.6347385361508964,-0.4382364126405793,0.2558972121600951,0.5684726310989932,0.2942347256143608,0.4409723922114745,0.5346739665345701,0.479376399019131,0.4133072685653066,0.4607202786953208,0.4781136024273218,0.2798967008624934,0.474455978394864,0.4083235850279362,0.306490338965511,0.3401131188407194,0.4395868872880725,0.5432565435927982,0.419515951456496,0.4300644615551716,0.3858364287649102,0.410578388679899,0.4440956156310425,0.5076775349947826,0.4389302584810355,0.4237448322549539,0.480966833124933,0.5092830540027705,0.3658001252863962,0.4857925017335253,0.4925018074748315,0.4420503229965082,0.4000258628149937,0.5269402975776355,0.3536821414725122,0.4380178516402122,0.3250988078140966,0.4124384333511853,0.4603324846023894,0.3987721436379356,0.524612164071309,0.5148503095156974,0.4459437801405531,0.5300212756367717,0.5052032736698907,0.4276521747399377,0.5157437068449774,0.4405193005511098,0.4192182948099043,0.3835163239313421,0.417590277532249,0.4445961823303008,2020,0
